7.7	17.4	24.0	40.0	61.8	91.7	129.8	185.8	261.9	383.7	481.1	589.3	651.5	695.8	736.4	704.7	678.0	654.3	654.3	650.5	655.0	641.9	636.1	642.6	636.1	620.1	627.4	601.6	591.2	562.1	535.3	517.7	548.8	526.8	525.7	509.2	483.7	417.2	350.2	269.6	201.4	136.2	96.7	70.1	50.6	33.3	21.9	14.0	9.2
8.1	13.1	23.4	37.2	58.7	88.1	123.7	172.9	247.6	360.5	473.3	572.3	637.2	713.4	721.3	717.5	676.9	658.1	636.8	634.5	634.1	632.4	609.0	632.1	633.1	635.8	595.9	584.0	545.9	525.2	511.1	503.9	531.0	530.2	521.3	509.2	484.9	423.4	342.8	254.1	186.4	128.9	92.9	67.8	47.7	32.6	21.3	14.3	8.7
6.7	11.8	20.9	35.0	54.5	82.4	113.1	159.0	233.2	321.6	436.3	547.9	624.1	694.7	723.2	692.5	679.1	655.3	651.5	603.6	627.8	613.6	583.4	609.0	595.3	579.7	557.6	550.9	526.0	526.6	506.3	508.4	517.7	533.0	504.9	496.4	465.3	387.9	323.1	239.7	170.3	117.6	86.1	64.4	47.0	29.4	19.5	12.7	7.3
5.6	10.9	19.2	29.3	46.4	72.6	104.8	145.7	210.6	290.2	391.4	515.2	592.4	648.4	711.1	711.5	679.8	649.5	639.2	610.7	589.6	574.8	575.7	560.3	547.6	544.2	529.9	519.6	510.6	508.4	496.1	498.8	517.7	503.9	500.4	467.6	434.9	365.6	302.3	211.9	150.0	110.4	81.0	60.7	41.3	26.3	17.2	11.7	7.2
4.5	10.0	15.7	26.8	39.4	63.9	93.4	129.3	180.2	244.9	350.0	469.0	569.3	612.0	652.2	657.1	680.9	639.9	611.6	616.2	590.6	533.9	541.6	539.3	534.7	522.1	511.7	498.2	496.4	498.2	483.4	506.8	503.3	502.0	468.8	440.2	403.5	345.1	259.3	185.9	131.1	98.9	72.7	55.0	35.4	24.2	15.9	9.3	6.1
4.0	7.4	13.5	21.5	34.6	54.4	81.8	117.9	152.5	211.7	290.5	402.1	500.4	591.2	634.1	646.4	636.8	663.7	618.2	597.2	573.8	555.3	550.0	525.2	516.3	508.4	484.2	490.9	476.8	506.8	491.2	508.4	499.4	471.5	455.6	429.9	369.6	303.5	225.6	159.9	116.9	86.8	65.6	46.6	32.2	21.0	13.4	10.4	5.8
3.3	6.6	11.4	18.6	29.0	45.7	69.9	96.7	129.8	174.2	240.1	324.8	426.7	517.1	564.8	605.5	624.8	625.8	603.2	600.4	575.1	551.4	550.0	530.2	515.2	503.9	480.3	477.6	492.2	515.5	492.2	473.3	480.3	459.5	434.7	388.1	319.3	249.1	186.8	137.1	98.9	79.1	57.8	40.0	26.3	18.5	12.1	8.4	4.7
3.1	4.6	9.0	15.9	24.5	37.8	59.1	79.6	109.8	145.9	202.4	271.6	361.0	443.7	487.5	564.8	592.4	605.2	570.5	587.7	557.9	529.1	537.0	512.8	517.7	510.1	493.8	488.6	494.5	492.7	473.0	453.9	448.0	409.3	381.3	339.6	273.3	201.6	151.3	116.6	85.5	69.4	48.8	32.8	22.4	15.3	10.9	6.7	3.5
1.3	3.4	7.0	12.0	18.9	30.3	45.4	67.6	91.1	123.1	163.1	218.2	284.3	348.9	430.6	486.0	533.6	531.0	560.3	547.1	538.1	525.2	528.2	514.1	504.7	502.8	504.1	480.1	470.8	447.2	443.7	421.4	393.1	356.9	336.4	279.4	215.7	161.8	123.4	95.8	74.6	57.0	39.5	26.9	18.9	12.5	8.4	5.5	3.2
0.6	2.3	5.2	10.4	14.4	23.3	34.7	50.9	73.5	101.1	129.8	167.8	210.2	269.2	340.6	397.8	454.4	478.3	517.7	512.0	518.5	527.7	503.9	491.9	469.0	475.5	475.8	456.1	429.2	437.9	406.7	388.1	352.2	309.9	261.6	213.6	167.5	129.0	102.8	77.6	60.7	45.5	31.7	21.7	15.0	10.1	7.2	4.6	3.2
